primary_track,program_duration_days,placed,employment_status,highest_level_of_education,biggest_challenge_in_search,work_authorization_status,number_of_interviews,number_of_applications,professional_experience_num
SWE,111.0,1,Student,Master's Degree,Tech issue,Other,0.0,120,1.5
Data,138.0,1,Unemployed,Bachelor's Degree,Tech issue,Citizen,1.0,25,0.5
Design,112.0,0,Student,Master's Degree,CV issue,Other,0.0,20,1.5
Data,274.0,0,Student,Bachelor's Degree,Interview skills,Other,0.0,5,1.5
PSO,160.0,1,Unemployed,Master's Degree,Career clarity,Green Card,0.0,190,0.5
Design,88.0,1,Student,Bachelor's Degree,Career clarity,Citizen,0.0,7,3.5
SWE,276.0,0,Employed,Master's Degree,Tech issue,Other,1.0,35,1.5
SWE,59.0,1,Employed,"Some College, No Degree",CV issue,Citizen,0.0,90,3.5
SWE,194.0,1,Employed,Master's Degree,Interview skills,Citizen,2.0,15,3.5
SWE,112.0,0,Student,Bachelor's Degree,CV issue,Other,0.0,2,1.5
SWE,101.0,1,Contractor,Bachelor's Degree,Interview skills,Other,5.0,70,5.0
Design,145.0,1,Student,Bachelor's Degree,Career clarity,Green Card,0.0,45,3.5
SWE,18.0,0,Student,Doctorate or Professional Degree,CV issue,Citizen,0.0,7,1.5
SWE,179.0,1,Student,"Some College, No Degree",Interview skills,Citizen,2.0,60,0.5
SWE,112.0,0,Employed,"Some College, No Degree",Career clarity,Citizen,0.0,60,1.5
SWE,145.0,1,Student,Bachelor's Degree,CV issue,Other,1.0,45,1.5
Design,181.0,1,Employed,Bachelor's Degree,Interview skills,Citizen,3.0,120,3.5
PSO,112.0,0,Contractor,Master's Degree,CV issue,Citizen,0.0,25,1.5
Data,112.0,0,Employed,Bachelor's Degree,Tech issue,Other,0.0,60,0.5
SWE,145.0,1,Employed,Master's Degree,Interview skills,Other,1.0,15,1.5
Data,86.0,1,Employed,Bachelor's Degree,Career clarity,Other,0.0,6,5.0
Design,248.0,1,Employed,Bachelor's Degree,Career clarity,Citizen,0.0,90,3.5
SWE,254.0,0,Student,Bachelor's Degree,Interview skills,Other,1.0,35,1.5
SWE,254.0,0,Student,Bachelor's Degree,CV issue,Other,1.0,20,1.5
SWE,136.0,1,Student,Bachelor's Degree,CV issue,Green Card,2.0,70,1.5
